Country,Year,Uso de Internet (% de la población),United Nations m49 country code,Source
Togo,1979,0.0,768,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Togo,1979,0.0,768,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Botswana,1980,0.0,072,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Botswana,1980,0.0,072,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Burundi,1980,0.0,108,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Burundi,1980,0.0,108,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Grenada,1980,0.0,308,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Grenada,1980,0.0,308,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Maldives,1980,0.0,462,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Maldives,1980,0.0,462,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Syrian Arab Republic,1980,0.0,760,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Syrian Arab Republic,1980,0.0,760,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Thailand,1980,0.0,764,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Thailand,1980,0.0,764,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Togo,1980,0.0,768,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Togo,1980,0.0,768,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Botswana,1981,0.0,072,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Botswana,1981,0.0,072,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Burundi,1981,0.0,108,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Burundi,1981,0.0,108,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Grenada,1981,0.0,308,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Grenada,1981,0.0,308,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Maldives,1981,0.0,462,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Maldives,1981,0.0,462,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Syrian Arab Republic,1981,0.0,760,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Syrian Arab Republic,1981,0.0,760,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Thailand,1981,0.0,764,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Thailand,1981,0.0,764,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Togo,1981,0.0,768,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Togo,1981,0.0,768,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Botswana,1982,0.0,072,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Botswana,1982,0.0,072,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Burundi,1982,0.0,108,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Burundi,1982,0.0,108,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Grenada,1982,0.0,308,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Grenada,1982,0.0,308,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Maldives,1982,0.0,462,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Maldives,1982,0.0,462,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Syrian Arab Republic,1982,0.0,760,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Syrian Arab Republic,1982,0.0,760,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Thailand,1982,0.0,764,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Thailand,1982,0.0,764,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Togo,1982,0.0,768,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Togo,1982,0.0,768,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Botswana,1983,0.0,072,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Botswana,1983,0.0,072,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Burundi,1983,0.0,108,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Burundi,1983,0.0,108,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
